seizoen,speeldag,datum,tijd,id_match,thuisploeg_stamnummer,thuisploeg,uitploeg_stamnummer,uitploeg,doelpunten_thuisploeg,doelpunten_uitploeg
2020,27,2021/02/22,20:45:00,3415471,3,Club Brugge,2495,Oud-Heverlee Leuven,3,0
2020,28,2021/02/26,20:45:00,3415485,29,R Charleroi SC,290,KRC Genk,1,2
2020,28,2021/02/27,16:15:00,3415480,12,Cercle Brugge,1669,KVRS Waasland - SK Beveren,2,0
2020,28,2021/02/27,18:30:00,3415483,31,KV Oostende,25,KV Mechelen,2,0
2020,28,2021/02/27,20:45:00,3415482,19,KV Kortrijk,2159,SV Zulte Waregem,1,2
2020,28,2021/02/28,13:30:00,3415486,16,Standard Luik,35,RSC Anderlecht,1,3
2020,28,2021/02/28,16:00:00,3415479,13,Beerschot V.A.,216,Royal Excel Moeskroen (-2022),2,2
2020,28,2021/02/28,20:45:00,3415487,322,Sint-Truidense VV,1792,KAS Eupen,0,2
2020,28,2021/03/01,20:45:00,3415484,2495,Oud-Heverlee Leuven,1,R Antwerp FC,2,0
2020,28,2021/03/15,20:45:00,3415481,7,KAA Gent,3,Club Brugge,0,4
2020,29,2021/03/05,20:45:00,3415495,29,R Charleroi SC,322,Sint-Truidense VV,0,0
2020,29,2021/03/06,16:15:00,3415491,1792,KAS Eupen,2495,Oud-Heverlee Leuven,3,3
2020,29,2021/03/06,18:30:00,3415496,1669,KVRS Waasland - SK Beveren,13,Beerschot V.A.,1,2
2020,29,2021/03/06,20:45:00,3415488,1,R Antwerp FC,19,KV Kortrijk,4,2
2020,29,2021/03/07,13:30:00,3415493,216,Royal Excel Moeskroen (-2022),16,Standard Luik,1,0
2020,29,2021/03/07,16:00:00,3415489,3,Club Brugge,2159,SV Zulte Waregem,3,0
2020,29,2021/03/07,18:15:00,3415494,35,RSC Anderlecht,25,KV Mechelen,1,1
2020,29,2021/03/07,20:45:00,3415492,290,KRC Genk,12,Cercle Brugge,2,0
2020,29,2021/03/08,20:45:00,3415490,7,KAA Gent,31,KV Oostende,1,0
